sample_accession	submission_accession	sample_description	sampling_platform	study_accession	sampling_site	marine_region	sample_title	country	location_end	location	location_start	isolation_source	depth
SAMN37005050	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005051	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005052	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005053	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005055	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005056	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005062	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005066	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005068	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005069	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005072	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005074	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005076	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005078	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005079	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005082	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005088	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005092	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005094	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005095	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005099	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005102	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005105	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005106	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005111	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005112	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005119	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005125	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005126	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005132	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005135	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005140	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005142	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005144	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005146	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005148	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005152	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005160	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005164	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005165	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005166	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005167	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005168	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005169	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005170	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005171	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005172	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005173	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005174	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005178	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005180	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005189	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005193	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005200	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005201	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005205	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005207	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005208	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005214	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005215	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005216	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005217	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005227	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005230	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005231	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005232	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005234	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005236	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005241	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005249	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005252	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005257	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005263	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005264	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005266	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005267	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005268	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005272	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005278	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005280	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005281	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005282	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005283	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005285	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005286	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005288	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005289	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005290	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005298	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005303	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005309	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005311	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005312	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005313	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005314	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005315	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005318	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005326	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005334	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005340	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005341	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005342	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005343	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005345	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005346	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005350	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005352	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005358	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005359	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005362	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005365	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005369	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005371	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005374	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005375	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005378	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005382	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005388	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005390	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005391	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005392	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005393	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005394	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005395	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005396	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005401	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005402	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005403	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005406	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005407	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005411	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005412	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005416	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005420	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005444	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005445	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005446	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005451	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005452	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005455	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005468	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005473	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005476	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005482	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005483	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005485	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005486	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005488	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005490	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005491	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005499	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005504	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005505	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005507	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005512	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005518	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005524	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005525	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005528	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005529	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005530	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005536	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
