sample_accession,sample_description,tax_id,age,altitude,assembly_quality,assembly_software,binning_software,bio_material,broad_scale_environmental_context,broker_name,cell_line,cell_type,center_name,checklist,collected_by,collection_date,collection_date_end,collection_date_start,completeness_score,contamination_score,country,cultivar,culture_collection,datahub,depth,description,dev_stage,disease,ecotype,elevation,environment_biome,environment_feature,environment_material,environmental_medium,environmental_sample,experimental_factor,first_public,germline,host,host_body_site,host_genotype,host_gravidity,host_growth_conditions,host_phenotype,host_scientific_name,host_sex,host_status,host_tax_id,identified_by,investigation_type,isolate,isolation_source,keywords,last_updated,lat,local_environmental_context,location,location_end,location_start,lon,marine_region,mating_type,ncbi_reporting_standard,ph,project_name,protocol_label,related_sample_accession,salinity,sample_alias,sample_capture_status,sample_collection,sample_material,sample_title,sampling_campaign,sampling_platform,sampling_site,scientific_name,secondary_sample_accession,sequencing_method,serotype,serovar,sex,specimen_voucher,status,strain,study_accession,sub_species,sub_strain,submission_accession,submission_tool,submitted_host_sex,tag,target_gene,tax_lineage,taxonomic_classification,taxonomic_identity_marker,temperature,tissue_lib,tissue_type,variety
SAMEA116061391,Fagus sylvatica sample I96_I96,28930,,,,,,,,,,,,,,2021-05-03,2021-05-03,2021-05-02,,,Germany,,,,,Fagus sylvatica sample I96_I96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I96_I96,,,,,,,,Fagus sylvatica,ERS21059432,,,,,,public,,PRJEB80328,,,ERA30809190,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMN38356679,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-A05-37-2-128,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611371,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMEA116061395,Fagus sylvatica sample K17_K17,28930,,,,,,,,,,,,,,2021-05-03,2021-05-03,2021-05-02,,,Germany,,,,,Fagus sylvatica sample K17_K17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K17_K17,,,,,,,,Fagus sylvatica,ERS21059436,,,,,,public,,PRJEB80328,,,ERA30809190,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMN38356700,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-C02-37-2-106,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611490,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMEA116061397,Fagus sylvatica sample K20_K20,28930,,,,,,,,,,,,,,2021-05-03,2021-05-03,2021-05-02,,,Germany,,,,,Fagus sylvatica sample K20_K20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K20_K20,,,,,,,,Fagus sylvatica,ERS21059438,,,,,,public,,PRJEB80328,,,ERA30809190,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMN38356707,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-C09-37-2-161,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611497,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMN38356709,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-C11-37-2-177,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611596,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMEA116061403,Fagus sylvatica sample K30_K30,28930,,,,,,,,,,,,,,2021-05-03,2021-05-03,2021-05-02,,,Germany,,,,,Fagus sylvatica sample K30_K30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K30_K30,,,,,,,,Fagus sylvatica,ERS21059444,,,,,,public,,PRJEB80328,,,ERA30809190,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMN38356711,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-D01-37-2-100,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611598,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMEA116061404,Fagus sylvatica sample K31_K31,28930,,,,,,,,,,,,,,2021-05-03,2021-05-03,2021-05-02,,,Germany,,,,,Fagus sylvatica sample K31_K31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K31_K31,,,,,,,,Fagus sylvatica,ERS21059445,,,,,,public,,PRJEB80328,,,ERA30809190,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMN38356718,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-D08-37-2-155,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611606,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMEA3446399,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",28930,,,,,,,,ArrayExpress,,,Dept. of Tree Physiology and Forest Botany University of Gottingen,ERC000011,,,,,,,,,,dcc_arrayexpress,,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",,,,,,,,,,,2016-01-01,,,,,,,,,,,,,,,,,2018-03-09,,,,,,,,,,,,,,,E-MTAB-3615:AGPolle_Sample_CS_4.6,,,,AGPolle_Sample_CS_4.6,,,Calvoerde,Fagus sylvatica,ERS744850,,,,,,public,,PRJEB9548,,,ERA444647,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMN38356719,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-D09-37-2-162,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611607,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMN38356724,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-E03-37-2-116,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611612,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMEA3446401,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",28930,,,,,,,,ArrayExpress,,,Dept. of Tree Physiology and Forest Botany University of Gottingen,ERC000011,,,,,,,,,,dcc_arrayexpress,,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",,,,,,,,,,,2016-01-01,,,,,,,,,,,,,,,,,2018-03-09,,,,,,,,,,,,,,,E-MTAB-3615:AGPolle_Sample_CS_6.8,,,,AGPolle_Sample_CS_6.8,,,Calvoerde,Fagus sylvatica,ERS744852,,,,,,public,,PRJEB9548,,,ERA444647,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMN38356727,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-E06-37-2-140,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611615,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMEA3446402,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",28930,,,,,,,,ArrayExpress,,,Dept. of Tree Physiology and Forest Botany University of Gottingen,ERC000011,,,,,,,,,,dcc_arrayexpress,,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",,,,,,,,,,,2016-01-01,,,,,,,,,,,,,,,,,2018-03-09,,,,,,,,,,,,,,,E-MTAB-3615:AGPolle_Sample_CS_5.2,,,,AGPolle_Sample_CS_5.2,,,Calvoerde,Fagus sylvatica,ERS744853,,,,,,public,,PRJEB9548,,,ERA444647,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMN38356748,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-G07-37-2-150,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611383,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMEA3446403,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",28930,,,,,,,,ArrayExpress,,,Dept. of Tree Physiology and Forest Botany University of Gottingen,ERC000011,,,,,,,,,,dcc_arrayexpress,,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",,,,,,,,,,,2016-01-01,,,,,,,,,,,,,,,,,2018-03-09,,,,,,,,,,,,,,,E-MTAB-3615:AGPolle_Sample_CS_6.5,,,,AGPolle_Sample_CS_6.5,,,Calvoerde,Fagus sylvatica,ERS744854,,,,,,public,,PRJEB9548,,,ERA444647,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMN38356751,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-G10-37-2-173,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611386,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMN38356756,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-H03-37-2-119,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611391,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMEA3446406,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",28930,,,,,,,,ArrayExpress,,,Dept. of Tree Physiology and Forest Botany University of Gottingen,ERC000011,,,,,,,,,,dcc_arrayexpress,,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",,,,,,,,,,,2016-01-01,,,,,,,,,,,,,,,,,2018-03-09,,,,,,,,,,,,,,,E-MTAB-3615:AGPolle_Sample_CS_6.7,,,,AGPolle_Sample_CS_6.7,,,Calvoerde,Fagus sylvatica,ERS744857,,,,,,public,,PRJEB9548,,,ERA444647,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMN38356760,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-H07-37-2-151,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611397,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMN38356762,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P02-H10-37-2-174,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611396,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMEA3446409,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",28930,,,,,,,,ArrayExpress,,,Dept. of Tree Physiology and Forest Botany University of Gottingen,ERC000011,,,,,,,,,,dcc_arrayexpress,,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",,,,,,,,,,,2016-01-01,,,,,,,,,,,,,,,,,2018-03-09,,,,,,,,,,,,,,,E-MTAB-3615:AGPolle_Sample_CS_5.6,,,,AGPolle_Sample_CS_5.6,,,Calvoerde,Fagus sylvatica,ERS744860,,,,,,public,,PRJEB9548,,,ERA444647,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMN38356765,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P03-A01-37-3-187,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611401,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMN38356766,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P03-A02-37-3-195,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611402,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMN38356770,Plant sample from Fagus sylvatica,28930,missing,,,,,,,NCBI,,,University of Goettingen,,,2020,2020-12-31,2020-01-01,,,Germany,,,,,Plant sample from Fagus sylvatica,adult,,,,,,,,,,2024-04-18,,,,,,,,,,,,,,,,,2024-04-18,,,,,,,,,Plant,,,,,,P03-A06-37-3-227,,,,Plant sample from Fagus sylvatica,,,,Fagus sylvatica,SRS19611502,,,,,,public,,PRJNA1043878,,,SRA1755746,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,Leaf,
SAMEA3446410,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",28930,,,,,,,,ArrayExpress,,,Dept. of Tree Physiology and Forest Botany University of Gottingen,ERC000011,,,,,,,,,,dcc_arrayexpress,,"Protocols: A 100 cm^2 area of bark was peeled of a living tree. Developing xylem was scraped from the surface underneath and directly frozen in liquid nitrogen. Frozen tissue was ground under liquid nitrogen in a ball mill (Retsch, Haan, Germany). Tissue powder (500 mg) was used for RNA extraction after Chang et al. (1993) with minor modifications: the extraction buffer contained 2% b-mercaptoethanol and no spermindine. RNA was purified (RNeasy Mini Kit, Qiagen, Venlo, Netherlands). Total RNA yield and purity were determined spectrophotometrically (NanoDrop, Thermo Fisher Scientific, Waltham, MA, USA). RNA integrity was assessed on an Agilent 2100 Bioanalyzer (Agilent, Santa Clara, CA, USA). TruSeq RNA Library Preparation Kit (Illumina)",,,,,,,,,,,2016-01-01,,,,,,,,,,,,,,,,,2018-03-09,,,,,,,,,,,,,,,E-MTAB-3615:AGPolle_Sample_CS_5.8,,,,AGPolle_Sample_CS_5.8,,,Calvoerde,Fagus sylvatica,ERS744861,,,,,,public,,PRJEB9548,,,ERA444647,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
